titulo;autor;ano_publicacao;DOI;tipo_publicacao;resumo;link_deacesso;;;;;;;;;;;;;;
Primary Care: Its Pokemon Moment;Bryan Becker;Epub 2024 Mar 29.;DOI: 10.1016/j.amjmed.2024.03.020;Review;Primary care in the United States is undergoing bursts of evolution in response to health system stresses, changing demographics, and expansion of risk and value-based reimbursement structures. The impact of primary care remains substantive and associated with improved population health. However, the spectrum of services, the nature of the physicians involved and new ways of including the patient in her, or his own care suggests that a new definition of primary care be considered, and patient expectations be heeded and understood. Evolutionary bursts yield new traits and in primary care, they are spawning new care models with significant implications for general internal medicine, internal medicine/pediatrics trained individuals and medicine subspecialties given the focus of these models on Medicare Advantage. Ultimately, changes in reimbursement and creative incentives will be two factors among many that will solidify the next stage of primary care in the United States.;https://linkinghub.elsevier.com/retrieve/pii/S0002-9343(24)00166-9;;;;;;;;;;;;;;
Impact of Pokémon Go on Physical Activity: A Systematic Review and Meta-Analysis;Madina Khamzina;Epub 2019 Dec 10.;DOI: 10.1016/j.amepre.2019.09.005;Meta-Analysis;Context: Pokémon Go is a popular mobile augmented reality game that requires players to travel to different locations to capture virtual characters. This study systematically reviews and quantifies Pokémon Go in relation to physical activity engagement among players.;;;;;;;;;;;;;;;
Evidence acquisition: A keyword search was conducted in PubMed; Web of Science; Scopus; EBSCO; SPORTDiscus; PsycINFO; ScienceDirect; and Cochrane Library for articles published between July 2016 and October 2018. Meta-analysis was performed to estimate the pooled effect of playing Pokémon Go on physical activity outcome.;;;;;;;;;;;;;
Evidence synthesis: From the keyword search; 17 studies (16 observational and 1 pre-post) were identified; with a total sample of 33;108 participants. A comparison between Pokémon Go players and nonplayers and between pre- and post-play time points revealed an increase in walking duration; distance walked; and number of steps/day. Pokémon Go players were also found to engage in less sedentary behavior. Playing Pokémon Go was associated with an increase in the number of steps per day by 1;446 steps (95% CI=953;1;939;;;;;;;;;;;;
"Conclusions: Playing Pokémon Go was associated with a statistically significant but clinically modest increase in the number of daily steps taken among game players. One challenge for future physical activity interventions using Pokémon Go is to retain active engagement once the initial novelty wears off. Additional studies with longer follow-up periods and experimental study design are needed to assess to what extent Pokémon Go and other augmented reality games can be used to promote physical activity at the population level for a sustained time period.""";https://linkinghub.elsevier.com/retrieve/pii/S0749-3797(19)30410-6;;;;;;;;;;;;;;;;;;;
Effects of Pokémon GO on Physical Activity and Psychological and Social Outcomes: A Systematic Review;Jung Eun Lee;;DOI: 10.3390/jcm10091860;Review;Augmented reality (AR) mobile game, Pokémon GO, leverages gamification and location tracking technology to encourage players to walk in different places to catch Pokémon characters in real-world settings. The systematic review sought to explore the impact Pokémon GO has on players' physical activity (PA), and psychological and social outcomes. Six research databases (PubMed, SPORTDiscus, PsycInfo, Web of Science, Science Direct, and Scopus) were used. Study inclusion criteria were: (1) quantitative research published in English;;;;;;;;;;;;;;;
Influence of Pokémon GO on Physical Activity and Psychosocial Well-Being in Children and Adolescents: Systematic Review;Haiyan Liang;;DOI: 10.2196/49019;Review.;Background: Pokémon GO, an augmented reality game with widespread popularity, can potentially influence players' physical activity (PA) levels and psychosocial well-being.;;;;;;;;;;;;;;;
Objective: This review aims to systematically examine the scientific evidence regarding the impact of Pokémon GO on PA and psychosocial well-being in children and adolescents.;;;;;;;;;;;;;;;;;;;;
Methods: Using the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines and the GRADE (Grading of Recommendations; Assessment; Development; and Evaluations) framework; we conducted keyword and reference searches in the PubMed; CINAHL; Web of Science; and Scopus databases. We performed title and abstract screening; full-text review; evidence synthesis; and identified research gaps.;;;;;;;;;;
Results: Our review included 10 studies that explored the effect of Pokémon GO on PA or psychosocial well-being among children and adolescents. These studies used diverse designs across multiple countries and regions. Pokémon GO use measures encompassed frequency; experience; adherence; and motivation. PA assessment methods ranged from self-reported questionnaires to technology-based evaluations and qualitative approaches. Psychosocial well-being measures included emotional intelligence; personal well-being; self-control; emotionality; and sociability. In general; the estimated impact of Pokémon GO on PA was positive; with gaming elements and engagement correlating with increased PA levels. However; the effect on psychosocial well-being presented mixed results; with positive associations for sociability but a complex relationship involving well-being and internet gaming disorder. The limitations of these studies comprised the absence of randomized controlled trials; heterogeneity in study designs and outcome measures; and potential confounding bias.;;;;;;;
Conclusions: Overall; Pokémon GO tends to positively affect PA levels; while the impact on psychosocial well-being remains complex and requires further investigation. Future research should investigate the mechanisms connecting Pokémon GO use with PA and psychosocial well-being and the potential risks of excessive gameplay. These findings can help inform public health interventions to harness gaming technologies for promoting PA and enhancing well-being among the younger generation.;;;;;;;;;;;;;;;;;;
Trial registration: PROSPERO International Prospective Register of Systematic Reviews CRD42023412032;;;;;;;;;;;;;;;;;;;;
